texto,label
"Comprei uma e com 2 meses de uso apareceu um defeito: uma linha horizontal riscando a tela. Menos mal porque ainda está na garantia. Levei para a assistência e estou aguardando o reparo. Tomara que quando acabar a garantia não apareça outro defeito.  Por enquanto vou aguardar com paciência o desfecho dessa situação. Por isso essa avaliação não termina aqui, veremos o desenrolar dessa história assim que o problema for resolvido...",negativo
Muito boa escova! As minhas visitas ao dentista se tornaram mais esparsadas e com menos sofrimento na cadeira deste profissional.,positivo
Produto chegou antes do prazo.... recomendo e indico!,neutro
Atendeu as expectativas da minha esposa a que presenteei,positivo
"Amei o produto excelente qualidade, memória, rápido. E a loja Americanas está de parabéns entregaram bem antes do prazo e pude curtir o réveillon com ele fazendo lindas fotos pois a câmera frontal é dez, tem flash e é 13 mega pixel",positivo
"foto do produto não é o que está anunciado, na boa, vai dar problema",neutro
"O celular veio com defeito, entrei em contato várias vezes com a samsung e com a lojas Americanas, e nada se resolvia. Primeiro queriam que eu mandasse para a autorizada, para consertar o defeito, sendo que eu como consumidora tenho 7 dias para trocar por um outro novo, eu não aceitei e depois de muitas ligações e insistência consegui falar com uma atendente que fez o processo para a troca. Se eu recomendo o produto ?? Não recomendo, apesar de ser um celular muito bonito é muito dificil a comunicação com os setores responsáveis. Enviei o produto para a troca de um novo celular, e espero que o processo de troca, não seja tão demorado, quanto foi para tentar solucionar o problema.",negativo
Como disse bom mas com volume  baixo mas  o preço  foi bom então  valeu,neutro
Ainda esperando um produto tenho fé que os Correios ainda vai me entregar pois estou esperando uma informação concreto...,neutro
"O produto é de boa qualidade, atende a necessidade de minha casa. Bom produto",positivo
Alguém conseguiu configurar para a leitura de boletos bancários em geral? Me ajudem. Manual confuso e sem explicações.,negativo
"A foto é muito mais bonito, e qualquer coisa ele corta os dedos",negativo
muito bom o aparelho e a entrega como sempre antes do prazo,positivo
tem algo errado baratear o preço mas cobrar 1000 reais só frete tão ficando maluco?!!!!,negativo
PRODUTO FALSO - JÁ COMUNICADO ANTERIORMENTE E SEM NENHUM RETORNO DAS LOJAS AMERICANAS,negativo
"Excelente produto, rápido e eficiente, você coloca as folhas e ele digitaliza frente e verso.",positivo
"O Asus X541UA i3 15.6 polegadas é um notebook de entrada, com uma boa relação custo/benefício quando o seu valor está abaixo de R$1.800,00. Acima desse valor, talvez seja melhor considerar outras opções.  Prós: Tem praticamente todas as conexões e une o antigo com o novo. Conexões como entrada VGA praticamente não existem mais, mas para quem precisa conectar esse notebook com um datashow, por exemplo, essa conexão é importante. Tem Bluetooth, Wifi, USB 2.0 e 3.0, além de USB tipo C  (novo padrão), além de HDMI. Também é um dos poucos notebooks que ainda tem leitor/gravador de CD/DVD. O touchpad é grande e bem sensível,  proporcionando rapidez e liberdade no cursor, muito prático mesmo! A tela não é anti-reflexiva, mas é agradável. Pra quem gosta de ouvir música sem usar fone de ouvido, a qualidade de som deste notebook é realmente superior!  Contras: Dobradiça da tela é dura, com o tempo isso pode contribuir para a quebra da carcaça. O clique dos botões do touchpad é muito fundo e barulhento. O teclado também é barulhento, principalmente a metade esquerda dele... chega a incomodar. Não vi vantagem alguma nas teclas serem mais altas. O ponto de interrogação fica na tecla W e com uso da  tecla Alt Gr, isso realmente atrapalha para quem digita muito. Não existe qualquer luz indicadora de Capslock/Maiúsculas, aí você tem que apelar para a configuração de acessibilidade do Windows, para fazer um barulhinho quando ativa ou desativa o Capslock. O  plug do carregador desencaixa com muita facilidade. A câmera é absurdamente péssima, uma VGA com baixíssima resolução (0.3Mp!!!), ou seja, um retrocesso de 15 anos! Porém, não adianta chorar! Essa é a câmera que agora vem em todos os notebooks, de todas as marcas... uma economia porca!",neutro
Comprei conectei e simplesmente não funciona em meu MAC MINI :(,negativo
Bom custo beneficio. asdf asdf asdf asdf asdf asdf asdf asdf asdf asdf asdf asdf,neutro
"Só é muito barulhento, fora isso o produto é otimo!",positivo
"Foi uma ótima decisão, optar pelo produto. Está me atendendo perfeitamente.",positivo
"Muito bom,fazer rápido, gostei muito,prática muito só de pensar em fazer pipoca sem sujar panela..amei",neutro
"Comprei o produto no dia 26/02/18.  Nâo recebí no prazo marcado.  Após mais de 15 dias de atrazo,  o produto chegou em minha residência, não recebi  e fiz a devolução.    Hoje é 28/03/18.",negativo
"Única coisa contra é que poderia fatiar mais fino, tipo mais uma variação de espessura de corte. O resto, potência beleza praticidade tudo dez.",positivo
"Sandália confortável, bonita e elegante. Ótimo custo benefício.  Infelizmente no primeiro dia de uso, acabei em meio a um temporal e molhou toda a sandália, a parte da palmilha começou a descolar logo em seguida. Mas nada que uma cola instantânea não resolva.  Fora isso, dentro do esperado.",neutro
"IMAGEM RUIM PARA UMA TV 4k, IMPOSSÍVEL AJUSTAR UMA COR COM QUALIDADE.",negativo
"Produto excelente, chegou antes do prazo, vale a pena comprar.",positivo
Não foi difícil montar mas precisou da ajuda dos familiares .  Muito bom!,positivo
não deveriam nem deixa coloca um anuncio desses pelo porte da americana cade as especificações do produto,negativo
"Além da entrega super rápido, amei o meu celular, do jeito que eu queria!!!!",positivo
O produto foi entregue no prazo estipulado. O desempenho é modesto mas supre as necessidades do usuário comum e faz jus ao preço que é vendido. Estou no segundo dia de uso (ainda) e não tenho reclamações.,positivo
produto de qualidade. Chegou no tempo combinado. Funciona corretamente. Ótimo produto. Recomendo a compra.,positivo
"Este produto é para serviços delicados e pequenos.  O acabamento não é muito bom, mas pelo preço compensa.",neutro
"Fiz a comprar desse violão, pelo cartão de crédito dois dias depois veio a confirmação da comprar, quando chegou a fratura do cartão tinha feito a primeira parcela porém depois de alguns dias recebi um e-mail que não tinha mais o produto. Paguei sem ao menos saber se tinha o violão em estoque.",negativo
"Atá agora, apesar das sucessivas reclamações NÂO RECEBI O PRODUTO, sendo assim não tenho condições de fazer a avaliação.  Todavia com relação com prazo de entrega e ao atendimento  minha avaliação é :                    Serviço de comunicação e entrega de,PESSIMA QUALIDADE.  a ENTREGA ESTAVA PROMETIDA PARA 5 a 8 DIAS E JA SE  PASSOU MAIS DE 1 MES E NÃO RECEBI A MERCADORIA.  vIRGILIO",negativo
Estou aguardando solucionarem a troca...ate agora nao obtive resposta da loja...primeira vez que me acontece ....nao receber o que nao foi o que realmente comprei...só vou avaliar como convém quando tiver resposta sobre o que houve por nao mandarem esse e sim outro e faltando um dos refil,negativo
"Gostei, recomendo as lojas americanas. Entrega direitinho",positivo
"Muito bom , atende minhas nescessidades perfeitamente , valor custo  beneficio otimo",positivo
"A mochila é muito bonita, espaçosa e feita com material de qualidade. Parece ser muito resistente. Ótima aquisição!",positivo
"Produto de excelente qualidade e custo, recomendo .",positivo
....................................................................,neutro
"A Americanas anuncia o produto: LIPO 6 BLACK ULTRA CONCENTRATE com 120 cápsulas, e o produto vem apenas 60 cápsulas.  Falta de respeito com o consumidor.",negativo
"Produto excelente. Prazo de entrega espetacular, antes do esperado.",positivo
"Gostei muito,entrego antes do prazo previsto,Parabéns á equipe de atendimento.",neutro
"sempre bem atendido, com relaçoes as compras neste site",neutro
Estou atras desta panela já a algum tempo e por favor Lojas Americanas entrem em contato com a Cadence e  Eletrolux para voltarem a fabricação e divulgação deste produto que hoje não existe no Brasil. Somente importando o que encarece e nos deixa insegura quanto a assistência técnica e reposição de poças. Por Favor?! Obrigada!,positivo
Muito bom para gestao. Entender e buscar formas de reconhecimento e incentivo.,positivo
Produto chegou mofado e com o revestimento (mapa)podre Estou aguardando a coletável posteriormente o reembolso.,negativo
Quero ver se posso retirar o produto em minha cidade?,neutro
"Se eu já tivesse recebido o produto ficaria mais fácil de avaliar, portanto a avaliação diz respeito ao site e não ao produto. Fiz minha compra há um mês e até hoje não recebi a mercadoria. Gostava muito de comprar nesse site, mas minhas duas últimas experiências me deixaram decepcionada.",negativo
"Bom produto, recomendo.                Entrega dentro do combinado",neutro
"ELE CHEGOU DIA 24/09/2017 O utilizei normalmente antes de dormir.  O coloquei ao lado da cama, por volta das 23:30 de ontem dia 17/01/2018 e hoje 18/01/2017 as. 2:30 ele simplesmente nao liga. Sempre usei com capinha e pelicula e NUNCA caiu. Estou estremamente chateada.",negativo
"Pelo produto em si é até razoavel, mas a bateria deveria ser mais duradoura, e não tem a metade dos aplicativos que eu tinha no outro aparelho da marca Asus Zenfone.",neutro
Recomendo este produto. Produto de boa qualidade. Recomendo este produto. Produto de boa qualidade.Recomendo este produto. Produto de boa qualidade.,neutro
"Acabei devolvendo todo o aparelho de jantar!!  Veio todo desbotado, com manchas escuras em volta das peças.    E por fim, estão me reembolsando apenas R$ 415,00, sendo que o valor do  aparelho é R$ 429,99 !!!",negativo
Não gela bem a água não tem regulagem de temperatura,negativo
Supriu totalmente minha necessidade..........................................................................................................................................................................................................................,positivo
demorou a entrega e o smartfone apresentou defeito na ativação do WiFi,negativo
"Comprei o Sony por pensar ser o melhor, me enganei",negativo
Uma verdadeira  porcaria  material frágil quem compra  vai  ser arepeder   não é  nada isso que  está na foto,negativo
"O design é lindo, e o celular é ótimo!! Vale muito a pena!",positivo
"Eu não aceitaria esse produto nem de graça. Ele solta MUITOS pelos, não só na roupa, mas na casa toda! Já lavei o produto 2 vezes e é impossível de usar sem precisar lavar sua roupa e toda a casa. Já separei para doar para algum sem teto que esteja precisando.",negativo
Arranhou o carro...causou estrago na saída do ar condicionado,negativo
"Realizei a compra desse celular e um j7 junto mas ja faz um mês e nada de chegar, a americanas está deixando a desejar na sua entrega não compro mais aqui!!!",neutro
"Ótima bá entrega e na qualidade,  recomendo sempre",positivo
Usei duas vezes  o produto até o momento gostei darei uma nova avaliação daqui dois meses,neutro
"E como a foto mesmo, linda e ficou muito bonito o ambiente",positivo
"Gostei muito do produto,e atende minhas necessidades,bom preço. Não sei se tem haver com o produto ou minha  internet,caso eu conecte a tv no wifi e acesso o youtube por exemplo e tbm esteja com o cel conectado passe alguns minutos a internet desconecta e é preciso reiniciar o modem.",positivo
"Não consigo usar,manual não é claro.ja tentei várias vezes e não dá certo.",negativo
"Nao comprei  o produto e provavelmente nao  compraria baseado nessas avaliaçoes,,,como pode alguem que nao comprou poder avaliar? Qual a confiabilidade das avaliaçoes?",negativo
Produto de boa qualidade so deveria manter mais a temperatura gelada,neutro
"Trabalho com livros do professor há tempos. Esperava que esse fosse como outros, que tem os exercícios e as respostas... porém só vem as respostas. Em sala de aula sigo usando o do aluno... esse acabei deixando em casa, só para o planejamento de aula, caso tenha alguma dúvida na resposta de um exercício.",neutro
"A escova é um muito útil, prática e de fácil manuseio. Economizei muito com salão!",positivo
O ferro atendeu as expectativas a entrega foi rápida uma boa escolha!!,neutro
"Muito boa! Ótima utilidade Entrega super rápida , um produto de ótima qualidade.  Recomendo com certeza",neutro
"As peças vieram todas trocadas, as gavetas eram de montagem apenas de um lado e o manual de montagem errado. Além disso o produto já apresentava arranhões e marcas de batidas.",negativo
total descaso. as capas vieram trocadas. não veio a capa do voltante. não veio abertura para encaixe do encosto de cabeça.  depois de mais de 30 dias de ligações e falta de retorno me mandaram aguardar a ligação da atendente com o numero para devolver o produto para só então me mandarem um novo produto correto.  vamos aguardar que me liguem... e depois aguardar que me retornem o produto correto.  total desrespeito.,negativo
"Relação custo benefício mto boa. TV de tamanho grande e preço acessível, qualidade no som e imagem... Gostei da compra!",positivo
"O umidificador domestico ventisol e muito bom, silencioso e eficaz, produto de excelente qualidade.",positivo
"Produto não atende o que se espera, o moedor não funciona corretamente",negativo
"Recebi antes do prazo, porém veio com a tela com defeito. Entrei em contato com a Americanas para a troca do produto, porém ia demorar quase 30 dias. Acabei levando na assistência da Motorola e em 3 dias ficou pronto. No mais, é um bom aparelho. Cumpre suas funções.",neutro
"Excelente produto! Amei!imagem , som, tamanho perfeitos. Controle de fácil manuseio, super indico essa TV!",positivo
"A cadeirinha é confortável, bem colorida, oferece recurso de vibração. Porém, acredito que poderia oferecer mais recursos, a música que toca ao puxar a alça do sapinho é muito curta, poderia ter mais sons.",neutro
Realizei a compra dia 12/02/2018 e me passaram prazo de 9 dias úteis mais ontem dia 21/02 chegou muito rápido parabéns Americanas! Satisfeita,positivo
bom produto com um preco otimo........... .............. ....compraria novamente,neutro
Peça faltando. Propaganda dubia. Interpretei que seria 1 mop com 4 escovas.,neutro
otimo mais deveria ser bivolt mais nada a acressentar,neutro
"Comprei nesse site porém a uma paceira, o prazo da entrega já se expirou faz uma semana e já mandei varias mensagens informando do ocorrido e não obtive nenhum retorno.Acho isso inadmissível fora que já paguei parcelas dos produtos e nada de uma solução para meu caso.",negativo
"a entrega, foi  antes do tempo combinado, mas o produto tem pouca potência",negativo
"Jogo original, chegou antes do prazo. está funcionando perfeitamente",positivo
"Pela marca achei que era melhor mas pelo preço foi bom a compra.  Pela marca pensei que Cesária (100 ) vem por cento mas não veda , como tinha falado antes pelo preço foi Boa compra.",neutro
Sem duvida a melhor marca do mercado. Já conhecia por intermédio de amigos. Por ser remador de Standup o Camelbak de cintura é mais anatômico que os de mochila! Mantém a água gelada e muito espaçoso para levar outros objetos Satisfeitíssimo!! Recomendo!,positivo
Produto veio quebrado dentro da cx e vimos ao abrir. Ainda sem resposta sobre a troca ou devolução do dinheiro.,negativo
"Eu comprei dois celulares, iguais! Fiz a compra dos dois juntos, paguei pelos dois! E só chegou um! Na hora d reclamar, a culpa não é de ninguém... E AI DE MIM se eu falar algo com o ""parceiro"" de vcs! Capaz de eu receber uma ""patada"" Agora eu perdi o dinheiro q eu juntei, e paguei em um celular o valor de dois!!  mas fiquem tranquilos... Vai ter volta!!",neutro
"TODAS AS MINHAS AMIGAS E PARENTES TEM O J5, TODAS GOSTAM , POREM O MEU ESTA ESQUENTANDO E A BATERIA COM POUCA DURAÇÃO.",negativo
"Bom produto mas nada de excepcional, poderia ser mais consistente em sua fórmula",neutro
Acredito que o produto seja muito bom. Já indiquei para várias pessoas.,positivo
"Atende o esperado, e foi entregue dentro do prazo. Não possui muita variação de peso, como as outras balanças.",neutro
